instance_name,status,submitter,group,tags,variables,binaries,integers,continuous,constraints,nonzeros
ta1-UUM.mps.gz,easy,MIPLIB submission pool,network_design,,2288,0,605,1683,439,5654
neos-525149.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-110,,3640,3600,0,40,144120,1519200
ab67-40-100.mps.gz,easy,MIPLIB submission pool,ab,,12812,12812,0,0,12092,75871
ns4-pr6.mps.gz,easy,MIPLIB submission pool,nus-prxy,,6919,0,37,6882,2639,20868
ger50-17-ptp-pop-6t.mps.gz,open,C. Raack,ger50,,4892,0,540,4352,545,14285
ger50-17-ptp-pop-3t.mps.gz,open,C. Raack,ger50,,4892,0,540,4352,545,14285
enlight11.mps.gz,infeasible,A. Zymolka,enlight,infeasible,242,121,121,0,121,682
ns2034125.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-67,,12000,9000,0,3000,14401,2549070
gen.mps.gz,easy,MIPLIB submission pool,,,870,144,6,720,780,2592
dano3_5.mps.gz,easy,Daniel Bienstock,dano,,13873,115,0,13758,3202,79655
neos-633273.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-10,,11154,11154,0,0,21781,63910
neos-957323.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-48,,57756,57756,0,0,3757,499656
rentacar.mps.gz,easy,MIPLIB submission pool,,,9557,55,0,9502,6803,41842
neos9.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-5,,81408,2099,0,79309,31600,244224
neos17.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-66,,535,300,0,235,486,4931
trento1.mps.gz,easy,MIPLIB submission pool,,,7687,6415,0,1272,1265,93571
railway_8_1_0.mps.gz,easy,MIPLIB submission pool,,,1796,1177,0,619,2527,7098
nw04.mps.gz,easy,MIPLIB submission pool,,,87482,87482,0,0,36,636666
acc-tight2.mps.gz,easy,J. Walser,acc-tight,,1620,1620,0,0,2520,15327
neos-820879.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-23,,9522,9522,0,0,361,72356
neos-585467.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-92,,2116,846,0,1270,2166,50058
enlight4.mps.gz,infeasible,A. Zymolka,enlight,infeasible,32,16,16,0,16,80
swath1.mps.gz,easy,D. Panton,swath,,6805,2306,0,4499,884,34965
beavma.mps.gz,easy,MIPLIB submission pool,,,390,195,0,195,372,975
neos-619167.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-83,,3452,400,0,3052,6800,20020
aflow30a.mps.gz,easy,T. Achterberg,aflow,,842,421,0,421,479,2091
neos-1354092.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-47,,13702,13282,420,0,3135,187187
liu.mps.gz,open,X. Liu,,,1156,1089,0,67,2178,10626
maxgasflow.mps.gz,easy,G. Gamrath,,,7437,2456,0,4981,7160,19717
ns1830653.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-110,,1629,1458,0,171,2932,100933
p2m2p1m1p0n100.mps.gz,infeasible,"B. Krishnamoorthy, G. Pataki",,infeasible,100,100,0,0,1,100
dolom1.mps.gz,hard,Double-Click SAS,,,11612,9720,0,1892,1803,190413
rmatr200-p10.mps.gz,easy,Dmitry Krushinsky,rmatr,,35254,200,0,35054,35055,105362
var-smallemery-m6j6.mps.gz,easy,Daniel Espinoza,,,5608,5606,0,2,13416,850621
lectsched-3.mps.gz,easy,Harald Schilly,lectsched,,25776,25319,457,0,45262,279967
stp3d.mps.gz,hard,T. Koch,,,204880,204880,0,0,159488,662128
map06.mps.gz,easy,Kiyan Ahmadizadeh,map,,164547,146,0,164401,328818,549920
usafa.mps.gz,easy,Christopher Daniel Richards,,,228648,216357,12291,0,1377561,16485100
acc-tight5.mps.gz,easy,J. Walser,acc-tight,,1339,1339,0,0,3052,16134
ponderthis0517-inf.mps.gz,infeasible,Rob Pratt,,infeasible,975,975,0,0,78,2925
hawaiiv10-130.mps.gz,easy,Jennifer Van Dinter,,,685130,578444,0,106686,1388052,183263000
neos6.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-47,,8786,8340,0,446,1036,251946
s250r10.mps.gz,easy,Daniel Espinoza,Spinoza,,273142,273139,0,3,10962,1318610
mzzv11.mps.gz,easy,S. Lukac,,,10240,9989,251,0,9499,134603
neos-1605061.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-5,,4111,3570,0,541,3474,93483
ci-s4.mps.gz,easy,Alexandra M. Newman,,,745,355,150,240,26159,129124
netdiversion.mps.gz,easy,Chris Cullenbine,,,129180,129180,0,0,119589,615282
pb-market-split8-70-4.mps.gz,open,Gleb Belov,pb-,,71,71,0,0,17,1113
pb-gfrd-pnc.mps.gz,open,Gleb Belov,pb-,,27888,27888,0,0,874,60737
pb-grow22.mps.gz,open,Gleb Belov,pb-,,25124,25124,0,0,1320,154694
pb-fit2d.mps.gz,easy,Gleb Belov,pb-,,118500,118500,0,0,10525,1575580
probportfolio.mps.gz,hard,Feng Qiu,,,320,300,0,20,302,6620
nsr8k.mps.gz,open,MIPLIB submission pool,,,38356,32040,0,6316,6284,371608
t1722.mps.gz,open,R. Borndörfer,,,36630,36630,0,0,338,133096
neos-5044663-wairoa.mps.gz,open,Hans Mittelmann,neos-pseudoapplication-53,,63540,0,44513,19027,21479,538629
berlin_5_8_0.mps.gz,easy,G. Klau,,,1083,794,0,289,1532,4507
mkc.mps.gz,hard,"J. Kalagnanam, M. Dawande",,,5325,5323,0,2,3411,17038
allcolor10.mps.gz,open,Domenico Salvagnin,allcolor,,14872,476,13776,620,34014,89136
datt256.mps.gz,open,Jon Dattorro,,,262144,262144,0,0,11077,1503730
sp98ir.mps.gz,easy,"J. Goessens, S. v. Hoessel, L. Kroon",sp9,,1680,992,688,0,1531,71704
bts4-cta.mps.gz,open,Jordi Castro,cta,,75400,2260,0,73140,45350,291904
australia-abs-cta.mps.gz,easy,Jordi Castro,cta,,49758,918,0,48840,3946,33792
cbs-cta.mps.gz,easy,Jordi Castro,cta,,24793,2467,0,22326,10112,64388
dale-cta.mps.gz,easy,Jordi Castro,cta,,37951,4923,0,33028,20097,105440
osorio-cta.mps.gz,easy,Jordi Castro,cta,,20409,7,0,20402,230,40860
neos-933966.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-34,,31762,27982,0,3780,12047,180618
cvs08r139-94.mps.gz,easy,Michael Bastubbe,cvs,,1864,1864,0,0,2398,6456
breastcancer-regularized.mps.gz,easy,Berk Ustun,ustun,,715,692,14,9,723,8283
mushroom-best.mps.gz,easy,Berk Ustun,ustun,,8468,8237,118,113,8580,188735
adult-max5features.mps.gz,open,Berk Ustun,ustun,,32674,32597,41,36,32709,417567
adult-regularized.mps.gz,open,Berk Ustun,ustun,,32674,32597,41,36,32709,417567
sct2.mps.gz,easy,Siemens,sct,,5885,2872,0,3013,2151,23643
sct31.mps.gz,easy,Siemens,sct,,8515,5520,0,2995,3932,68453
fhnw-sq3.mps.gz,infeasible,Simon Felix,fhnw-sq,infeasible,2450,2401,49,0,167,7372
fhnw-sq2.mps.gz,hard,Simon Felix,fhnw-sq,,650,625,25,0,91,1968
nucorsav.mps.gz,open,Alexandra M. Newman,,,55410,49360,0,6050,1812472,26170400
neos-1442119.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-8,,728,364,0,364,1524,6692
supportcase38.mps.gz,open,Domenico Salvagnin,,,6296679,2505,0,6294174,4231124,15728600
neos-686190.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-60,,3660,3600,60,0,3664,18085
sorrell7.mps.gz,open,Toni Sorrell,independentset,,2048,2048,0,0,78848,157696
sorrell3.mps.gz,easy,Toni Sorrell,independentset,,1024,1024,0,0,169162,338324
sorrell4.mps.gz,open,Toni Sorrell,independentset,,2048,2048,0,0,504451,1008900
sorrell8.mps.gz,easy,Toni Sorrell,independentset,,2046,2046,0,0,18944,37888
bnatt400.mps.gz,easy,Tatsuya Akutsu,bnatt,,3600,3600,0,0,5614,21698
tbfp-network.mps.gz,easy,Rob Pratt,,,72747,72747,0,0,2436,215837
tbfp-bigm.mps.gz,hard,Rob Pratt,,,2406,2404,0,2,35999,74338
glass-sc.mps.gz,easy,Marc Pfetsch,maxfeassub,,214,214,0,0,6119,63918
physiciansched6-1.mps.gz,easy,Pelin Damci-Kurt,physiciansched,,126204,104778,0,21426,175664,542098
physiciansched6-2.mps.gz,easy,Pelin Damci-Kurt,physiciansched,,111827,109346,0,2481,168336,480259
physiciansched5-3.mps.gz,easy,Pelin Damci-Kurt,physiciansched,,14488,11501,0,2987,31925,156378
physiciansched3-3.mps.gz,easy,Pelin Damci-Kurt,physiciansched,,79555,72141,0,7414,266227,1062480
physiciansched3-4.mps.gz,easy,Pelin Damci-Kurt,physiciansched,,74119,65900,0,8219,239780,908634
r4l4-02-tree-bounds-50.mps.gz,open,Christian Liebchen,,,11468,1938,2830,6700,4768,19072
neos-5013590-toitoi.mps.gz,easy,Hans Mittelmann,neos-pseudoapplication-106,,27061,27060,0,1,53957,134480
acc-tight4.mps.gz,easy,J. Walser,acc-tight,,1620,1620,0,0,3285,17073
ex9.mps.gz,easy,Iulian Ober,,,10404,0,10404,0,40962,517112
buildingenergy.mps.gz,easy,Kristopher A. Pruitt,,,154978,0,26287,128691,277594,788969
b2c1s1.mps.gz,easy,"M. Vyve, Y. Pochet",c1s1,,3872,288,0,3584,3904,11408
loopha13.mps.gz,easy,Hamideh,,,19356,18150,0,1206,23758,41809
allcolor58.mps.gz,open,Domenico Salvagnin,allcolor,,84376,2492,78288,3596,197154,515184
t1717.mps.gz,open,R. Borndörfer,,,73885,73885,0,0,551,325689
momentum1.mps.gz,easy,T. Koch,momentum,,5174,2349,0,2825,42680,103191
stockholm.mps.gz,open,Paul Rubin,,,20644,962,0,19682,57346,171076
dlr1.mps.gz,open,Felix Cebulla,,,9142907,0,124217,9018690,1735470,18365100
dlr2.mps.gz,open,Felix Cebulla,,,38868107,0,532697,38335410,7132926,78091600
rocI-4-11.mps.gz,easy,Joerg Rambau,rocI,,6839,5192,1016,631,10883,27383
rocII-5-11.mps.gz,easy,Joerg Rambau,rocI,,11523,11341,0,182,26897,303291
rocII-8-11.mps.gz,open,Joerg Rambau,rocI,,18390,18106,0,284,42374,483846
rocII-10-11.mps.gz,open,Joerg Rambau,rocI,,22968,22616,0,352,52692,604216
rocI-3-11.mps.gz,easy,Joerg Rambau,rocI,,5132,3894,762,476,8165,20540
ns1849932.mps.gz,open,NEOS Server Submission,neos-pseudoapplication-60,,128521,128164,0,357,128880,766124
ns1760995.mps.gz,easy,NEOS Server Submission,neos-pseudoapplication-12,,17956,17822,0,134,615388,1854010
ns1430538.mps.gz,hard,NEOS Server Submission,neos-pseudoapplication-76,,33616,1680,0,31936,34960,178112
ns1679495.mps.gz,open,NEOS Server Submission,neos-pseudoapplication-9,,341780,10580,0,331200,14928,1678360
ns1690781.mps.gz,open,NEOS Server Submission,neos-pseudoapplication-8,,5736,2880,0,2856,11181,262360
ns1828997.mps.gz,open,NEOS Server Submission,neos-pseudoapplication-13,,27275,27275,0,0,81725,190670
bab5.mps.gz,easy,Elmar Swarat,bab,,21600,21600,0,0,4964,155520
transportmoment.mps.gz,easy,G. Gamrath,,,9685,2456,0,7229,9616,29541
mine-166-5.mps.gz,easy,Andreas Bley,mine,,830,830,0,0,8429,19412
markshare_5_0.mps.gz,easy,"G. Cornuéjols, M. Dawande",markshare,,45,40,0,5,5,203
neos-3703351-marne.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-3,,8827,1382,0,7445,4123,55293
neos-2626858-aoos.mps.gz,infeasible,Jeff Linderoth,neos-pseudoapplication-7,infeasible,524,209,315,0,342,1690
neos-3230511-yuna.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-4,,99472,99456,0,16,19335696,58613700
neos-3610173-itata.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-91,,844,77,0,767,747,2130
neos-3665875-lesum.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-9,,3128,320,0,2808,3184,10640
neos-4960896-besbre.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-59,,6149,1809,0,4340,14793,98690
neos-3135526-osun.mps.gz,infeasible,Jeff Linderoth,neos-pseudoapplication-71,infeasible,192,170,0,22,1546,25750
neos-5107597-kakapo.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-54,,3114,2976,0,138,6498,19392
neos-4295773-pissa.mps.gz,open,Jeff Linderoth,neos-pseudoapplication-6,,85126,85124,0,2,210116,552408
neos-3065804-namu.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-41,,4741,2190,0,2551,3280,574830
neos-5178119-nalagi.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-62,,4167,4068,0,99,6921,74476
neos-5151569-mologa.mps.gz,open,Jeff Linderoth,neos-pseudoapplication-82,,108116,22230,0,85886,45671,517666
neos-4322846-ryton.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-6,,108700,108699,0,1,104972,452044
neos-5138690-middle.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-104,,562786,12418,0,550368,776608,3353970
neos-3761878-oglio.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-3,,6489,1312,0,5177,3871,35511
neos-4321076-ruwer.mps.gz,open,Jeff Linderoth,neos-pseudoapplication-98,,361730,122,0,361608,509809,1265750
neos-3048764-nadi.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-43,,12360,9390,0,2970,3186,21867
neos-5076235-embley.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-17,,49686,98,0,49588,63112,1089560
neos-4232544-orira.mps.gz,open,Jeff Linderoth,neos-pseudoapplication-57,,87060,38280,5700,43080,180600,492456
neos-5116085-kenana.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-24,,509236,12376,0,496860,690242,3032790
neos-4736745-arroux.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-37,,6216,1120,5096,0,1827,19281
neos-3218348-suir.mps.gz,infeasible,Jeff Linderoth,neos-pseudoapplication-72,infeasible,7022,7006,0,16,1320,221881
neos-4535459-waipa.mps.gz,open,Jeff Linderoth,neos-pseudoapplication-67,,961401,640000,0,321401,163001,256963000
neos-3699377-maori.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-3,,17233,1856,0,15377,5587,125895
neos-3530903-gauja.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-105,,2310,420,1890,0,220,4410
neos-3709489-menik.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-44,,48005,31506,15424,1075,59587,199272
neos-3592146-hawea.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-37,,4870,525,4345,0,995,13880
neos-3594536-henty.mps.gz,open,Jeff Linderoth,neos-pseudoapplication-83,,22924,0,22924,0,21280,65712
neos-4531126-vouga.mps.gz,open,Jeff Linderoth,neos-pseudoapplication-87,,169996,169996,0,0,7694,967980
neos-5157194-moruya.mps.gz,infeasible,Jeff Linderoth,neos-pseudoapplication-41,infeasible,24557,13302,1681,9574,30175,9381780
neos-5118834-korana.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-24,,470050,11410,0,458640,649124,2796960
neos-4532248-waihi.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-6,,86842,86841,0,1,167322,525339
neos-4724674-aorere.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-30,,94145,87022,22,7101,137123,376775
neos-3611447-jijia.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-91,,472,85,0,387,377,1145
neos-4954672-berkel.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-43,,1533,630,0,903,1848,8007
neos-3208254-reiu.mps.gz,open,Jeff Linderoth,neos-pseudoapplication-98,,3154336,3743,0,3150593,9464908,25080200
neos-3226448-wkra.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-103,,10012,10012,0,0,2208,40048
neos-3603137-hoteo.mps.gz,open,Jeff Linderoth,neos-pseudoapplication-38,,4003,3913,90,0,10510,39146
neos-3024952-loue.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-86,,3255,0,3255,0,3705,17310
neos-3148108-pahi.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-49,,12241,12241,0,0,154774,353504
neos-4738912-atrato.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-37,,6216,1120,5096,0,1947,19521
neos-3759587-noosa.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-61,,27029,4289,0,22740,72104,318169
neos-3352863-ancoa.mps.gz,open,Jeff Linderoth,neos-pseudoapplication-100,,20046,20045,0,1,169,869239
neos-4984115-canche.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-69,,268859,0,65,268794,180214,1351940
neos-5081619-ganges.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-59,,66432,7900,0,58532,187024,547574
neos-4230265-orari.mps.gz,open,Jeff Linderoth,neos-pseudoapplication-57,,32980,13380,10,19590,76374,189026
neos-4285819-pedja.mps.gz,open,Jeff Linderoth,neos-pseudoapplication-79,,721438,686647,0,34791,1518618,4866060
neos-4300652-rahue.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-13,,33003,20900,0,12103,76992,183616
neos-3656078-kumeu.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-44,,14870,9755,4455,660,17656,59292
neos-3610051-istra.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-91,,805,76,0,729,709,1999
neos-4972461-bolong.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-85,,245028,7428,0,237600,341424,1456690
neos-3229051-yass.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-23,,99472,99456,0,16,18846096,57144900
neos-4722843-widden.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-30,,77723,73349,20,4354,113555,311529
neos-3045796-mogo.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-22,,11016,11016,0,0,2226,44442
neos-5078479-escaut.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-35,,3471,1330,0,2141,3442,9062
neos-3230376-yser.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-4,,57000,56976,0,24,786916,2372590
neos-3075395-nile.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-50,,26928,1728,0,25200,27756,102672
neos-5108386-kalang.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-104,,600880,12292,0,588588,849226,3585990
neos-4533806-waima.mps.gz,open,Jeff Linderoth,neos-pseudoapplication-31,,93318,93304,0,14,52983,1250570
neos-5045105-creuse.mps.gz,open,Jeff Linderoth,neos-pseudoapplication-78,,3848,0,3780,68,252,23108
neos-3237086-abava.mps.gz,open,Jeff Linderoth,neos-pseudoapplication-51,,50192,50192,0,0,69472,233552
neos-5114902-kasavu.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-104,,710164,14560,0,695604,961170,4240380
neos-3755335-nizao.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-61,,40938,5226,0,35712,111026,547794
neos-3214367-sovi.mps.gz,hard,Jeff Linderoth,neos-pseudoapplication-56,,4318,4139,179,0,7244,93911
neos-2978193-inde.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-5,,20800,64,0,20736,396,41600
neos-5188808-nattai.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-98,,14544,288,0,14256,29452,133686
neos-3118745-obra.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-26,,1131,1130,0,1,144,4521
neos-5051588-culgoa.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-86,,3918,0,3780,138,4144,31728
neos-3734794-moppy.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-25,,4418,1760,154,2504,4317,22430
neos-4387871-tavua.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-58,,4004,2000,0,2004,4554,23496
neos-3083819-nubu.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-31,,8644,0,8644,0,4725,24048
neos-4333596-skien.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-43,,1005,460,0,545,812,5811
neos-2652786-brda.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-7,,524,236,288,0,342,1690
neos-5104907-jarama.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-24,,345856,9520,0,336336,489818,2053550
neos-4966126-blavet.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-59,,37885,2516,0,35369,109265,320933
neos-2991472-kalu.mps.gz,open,Jeff Linderoth,neos-pseudoapplication-77,,12105,12096,0,9,18170,13709400
neos-3046601-motu.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-90,,308,272,17,19,563,1430
neos-4954340-beaury.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-59,,7850,2544,0,5306,20162,77435
neos-3355323-arnon.mps.gz,open,Jeff Linderoth,neos-pseudoapplication-38,,10248,10104,144,0,21216,69912
neos-3672928-linge.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-97,,62251,40081,19636,2534,76477,251299
neos-3611689-kaihu.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-91,,421,88,0,333,323,1014
neos-4976951-bunnoo.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-85,,293268,8148,0,285120,408336,1746680
neos-3283608-agout.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-84,,26256,26224,0,32,108649,301792
neos-3083784-nive.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-72,,4779,3240,0,1539,2836,11583
neos-3211096-shag.mps.gz,infeasible,Jeff Linderoth,neos-pseudoapplication-38,infeasible,4379,4289,90,0,10187,31705
neos-4332810-sesia.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-28,,20682487,20677405,20,5062,19912111,47513000
neos-3610040-iskar.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-91,,430,85,0,345,335,1023
neos-2987202-jeir.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-82,,146700,9045,0,137655,120209,1979660
neos-3572885-glina.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-38,,57196,34272,22924,0,44206,157180
neos-3209519-ruhr.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-14,,8675,8000,0,675,12500,61725
neos-4338804-snowy.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-40,,1344,1260,42,42,1701,6342
neos-2629914-sudost.mps.gz,open,Jeff Linderoth,neos-pseudoapplication-66,,496,256,0,240,51872,209792
neos-4650160-yukon.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-79,,1412,624,0,788,1969,6416
neos-3354841-apure.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-100,,1e+05,0,1e+05,0,169,5393090
neos-5093327-huahum.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-17,,40640,64,0,40576,51840,784768
neos-4355351-swalm.mps.gz,open,Jeff Linderoth,neos-pseudoapplication-58,,21065,10530,0,10535,21609,371467
neos-4972437-bojana.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-85,,293268,8148,0,285120,408192,1746400
neos-4409277-trave.mps.gz,hard,Jeff Linderoth,neos-pseudoapplication-47,,14363,14362,0,1,7875,204518
neos-3581454-haast.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-14,,8112,7512,0,600,17220,92976
neos-5123665-limmat.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-104,,655522,13426,0,642096,904358,3911500
neos-3762025-ognon.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-3,,4673,948,0,3725,2784,25384
neos-3230516-zala.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-4,,101856,101824,0,32,1146724,3427390
neos-2656603-coxs.mps.gz,infeasible,Jeff Linderoth,neos-pseudoapplication-7,infeasible,524,186,338,0,342,1690
neos-5106984-jizera.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-24,,470050,11410,0,458640,648984,2796680
neos-3009394-lami.mps.gz,open,Jeff Linderoth,neos-pseudoapplication-90,,2757,2704,52,1,2028,6760
neos-2657525-crna.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-7,,524,146,378,0,342,1690
neos-4971100-bodrog.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-20,,11929,1980,0,9949,14998,97827
neos-3530905-gaula.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-105,,2090,190,1900,0,200,3990
neos-3421095-cinca.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-25,,896,117,42,737,1218,3678
neos-2974461-ibar.mps.gz,open,Jeff Linderoth,neos-pseudoapplication-45,,214730,200352,14378,0,214107,2303100
neos-4335793-snake.mps.gz,open,Jeff Linderoth,neos-pseudoapplication-44,,30827,20473,7865,2489,37166,129119
neos-4703857-ahuroa.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-82,,266502,133470,0,133032,221496,536040
neos-5182409-nasivi.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-32,,2005,1600,0,405,580,14884
neos-5115478-kaveri.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-54,,3114,2976,0,138,6498,19392
neos-3754224-navua.mps.gz,not-easy-current,Jeff Linderoth,neos-pseudoapplication-83,,150228,3574,0,146654,232387,652974
neos-5041756-cobark.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-12,,60301,60000,0,301,30900,180900
neos-2669500-cust.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-52,,112008,110880,1120,8,105744,636728
neos-3426085-ticino.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-105,,4688,879,3809,0,308,9083
neos-3740487-motru.mps.gz,open,Jeff Linderoth,neos-pseudoapplication-61,,1689612,75566,0,1614046,4936372,26433500
neos-5083528-gimone.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-67,,60315,4792,55509,14,617,384472
neos-2328163-agri.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-36,,2236,2236,0,0,1963,12740
neos-5118851-kowhai.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-104,,613152,14112,0,599040,859504,3643970
neos-4333464-siret.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-58,,2731,1363,0,1368,2880,27710
neos-5192052-neckar.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-74,,180,24,0,156,57,545
neos-4562542-watut.mps.gz,open,Jeff Linderoth,neos-pseudoapplication-31,,134705,134694,0,11,73746,2015540
neos-3437289-erdre.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-87,,12162,12162,0,0,7358,149856
neos-2987310-joes.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-82,,27837,3051,0,24786,29015,580291
neos-2624317-amur.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-7,,524,180,344,0,342,1690
neos-4306827-ravan.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-30,,162291,155368,285,6638,261877,639474
neos-3381206-awhea.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-105,,2375,475,1900,0,479,4275
neos-4391920-timok.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-106,,93846,93786,0,60,184575,585839
neos-2746589-doon.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-52,,50936,50704,224,8,31530,271072
neos-4545615-waita.mps.gz,open,Jeff Linderoth,neos-pseudoapplication-31,,654950,654930,0,20,345152,10670200
neos-4290317-perth.mps.gz,open,Jeff Linderoth,neos-pseudoapplication-76,,54708,1042,0,53666,65580,398380
neos-3660371-kurow.mps.gz,easy,Jeff Linderoth,neos-pseudoapplication-9,,4722,144,0,4578,4758,12912
neos-3209462-rhin.mps.gz,open,Jeff Linderoth,neos-pseudoapplication-98,,56453,383,0,56070,170226,447473
