instance_name,status,vars,bin_vars,int_vars,cont_vars,constr,nonzeroes,tags
unitcal_7.mps.gz,easy,25755,2856,0,22899,48939,127595,benchmark benchmark_suitable precedence variable_bound mixed_binary general_linear
bnatt500.mps.gz,easy,4500,4500,0,0,7029,27203,benchmark infeasible binary benchmark_suitable precedence set_covering invariant_knapsack binpacking knapsack
fastxgemm-n2r6s0t2.mps.gz,easy,784,48,0,736,5998,19376,benchmark decomposition benchmark_suitable variable_bound set_partitioning set_covering mixed_binary general_linear
mc11.mps.gz,easy,3040,1520,0,1520,1920,6080,benchmark decomposition benchmark_suitable variable_bound mixed_binary
graphdraw-domain.mps.gz,easy,254,180,20,54,865,2600,benchmark benchmark_suitable variable_bound set_partitioning invariant_knapsack mixed_binary general_linear
opm2-z10-s4.mps.gz,easy,6250,6250,0,0,160633,371240,benchmark binary benchmark_suitable precedence knapsack
timtab1.mps.gz,easy,397,77,94,226,171,829,benchmark benchmark_suitable aggregations mixed_binary general_linear
square47.mps.gz,easy,95030,94987,43,0,61591,27329856,benchmark benchmark_suitable set_partitioning general_linear
square41.mps.gz,easy,62234,62197,37,0,40160,13566426,benchmark benchmark_suitable set_partitioning general_linear
rail01.mps.gz,easy,117527,117527,0,0,46843,392086,benchmark binary benchmark_suitable aggregations variable_bound set_partitioning set_packing cardinality knapsack
pg.mps.gz,easy,2700,100,0,2600,125,5200,benchmark decomposition benchmark_suitable mixed_binary
csched007.mps.gz,easy,1758,1457,0,301,351,6379,benchmark benchmark_suitable aggregations variable_bound set_partitioning mixed_binary general_linear
rococoB10-011000.mps.gz,easy,4456,4320,136,0,1667,16517,benchmark decomposition benchmark_suitable precedence set_partitioning cardinality general_linear
uccase9.mps.gz,easy,33242,8064,0,25178,49565,332316,benchmark benchmark_suitable aggregations precedence variable_bound set_partitioning invariant_knapsack binpacking knapsack mixed_binary
uccase12.mps.gz,easy,62529,9072,0,53457,121161,419447,benchmark benchmark_suitable aggregations precedence variable_bound mixed_binary
neos-631710.mps.gz,easy,167056,167056,0,0,169576,834166,benchmark binary benchmark_suitable precedence set_partitioning set_packing binpacking
satellites2-40.mps.gz,easy,35378,34324,0,1054,20916,283668,benchmark benchmark_suitable aggregations precedence variable_bound set_partitioning set_packing cardinality invariant_knapsack knapsack mixed_binary
ns1644855.mps.gz,easy,30200,10000,0,20200,40698,2110696,benchmark benchmark_suitable variable_bound set_partitioning mixed_binary general_linear
chromaticindex512-7.mps.gz,easy,36864,36864,0,0,33791,135156,benchmark binary benchmark_suitable set_partitioning set_packing
chromaticindex1024-7.mps.gz,easy,73728,73728,0,0,67583,270324,benchmark binary benchmark_suitable set_partitioning set_packing
assign1-5-8.mps.gz,easy,156,130,0,26,161,3720,benchmark benchmark_suitable set_partitioning cardinality mixed_binary
binkar10_1.mps.gz,easy,2298,170,0,2128,1026,4496,benchmark benchmark_suitable aggregations mixed_binary
blp-ar98.mps.gz,easy,16021,15806,0,215,1128,200601,benchmark decomposition benchmark_suitable variable_bound set_packing equation_knapsack mixed_binary general_linear
istanbul-no-cutoff.mps.gz,easy,5282,30,0,5252,20346,71477,benchmark benchmark_suitable aggregations variable_bound knapsack mixed_binary
leo1.mps.gz,easy,6731,6730,0,1,593,131218,benchmark benchmark_suitable variable_bound set_packing set_covering mixed_binary
rmatr200-p5.mps.gz,easy,37816,200,0,37616,37617,113048,benchmark benchmark_suitable cardinality mixed_binary
pg5_34.mps.gz,easy,2600,100,0,2500,225,7700,benchmark decomposition benchmark_suitable mixed_binary
eil33-2.mps.gz,easy,4516,4516,0,0,32,44243,benchmark binary benchmark_suitable set_partitioning
snp-02-004-104.mps.gz,easy,228350,167,167,228016,126512,463941,benchmark benchmark_suitable aggregations variable_bound mixed_binary general_linear
map10.mps.gz,easy,164547,146,0,164401,328818,549920,benchmark benchmark_suitable precedence variable_bound knapsack mixed_binary
supportcase40.mps.gz,easy,16440,2000,0,14440,38192,104420,benchmark decomposition benchmark_suitable precedence variable_bound set_packing mixed_binary
